[P001 | Normal] CARELOOP 暖桌
[P371 | List Bullet] 接入Careloop订单状态
[P372 | List Bullet] 建立工作人员SOP
[P373 | List Bullet] 小批量菜单测试
[P374 | List Bullet] 完成正常/异常/清洁/收档全流程测试
[P375 | Heading 1] 91–180日：商业Pilot
[P376 | List Bullet] 真实支付
[P377 | List Bullet] 验证复购
[P378 | List Bullet] 测量每单人工分钟
[P379 | List Bullet] 测量设备利用率与维护成本
[P380 | List Bullet] 测量政策补贴对现金贡献的影响
[P381 | List Bullet] 获得合作方续约/扩站意向
[P382 | Heading 1] 180–360日：标准化
[P383 | List Bullet] Site-in-a-Box
[P384 | List Bullet] 标准设备BOM
[P385 | List Bullet] 标准SOP
[P386 | List Bullet] 标准合同
[P387 | List Bullet] 标准培训
[P388 | List Bullet] 标准数据指标
[P390 | Title] 第七部分｜风险不是一页“免责声明”，而是投资人判断2,000万元是否值得的核心
[P393 | Title] 第八部分｜团队页：不再展示“谁讲哪一页”，而是证明谁能把2,000万元变成真实站点
[P395 | Normal] 团队页的核心不是“我们都很厉害”，而是明确：现有团队能做什么、2,000万元投下去后还缺什么、为什么需要产业伙伴。TeaVita的样本也把学术平台、真实产业和AI技术的整合能力放在团队叙事中心。fileciteturn2file1L555-L568
[P397 | Title] 第九部分｜20页路演节奏：页数增加，但每页更轻
[P399 | Heading 1] 一句话原则
[P400 | Normal] 20页不等于20页都要“讲满”。硬件页可以10秒扫过；Demo页可以60–90秒；商业和资金页必须讲清楚。
[P402 | Title] 第十部分｜视觉与排版规范：保持第一版的“少字、证据、UI优先”，但允许更强的商业图表
[P404 | Heading 1] 必须删除
[P405 | List Bullet] 重复Visual Reference/AICAN标签
[P406 | List Bullet] 与当前产品无关的机器人图库
[P407 | List Bullet] 大段英文口号
[P408 | List Bullet] 无来源KPI
[P409 | List Bullet] 把Demo adapter写成真实部署
[P410 | List Bullet] 把2,000万写成已获融资
[P412 | Title] 第十一部分｜旧25页 → 新21页迁移表：尽量少做无谓返工
[P414 | Normal] 第一版指导书本身已经建议保留SHARE、B-B-C、三层系统、视频、风险等资产；新版不是推翻，而是把这些模块放进“产品→商业→资金”的正确顺序。fileciteturn2file0L118-L168
[P416 | Title] 第十二部分｜最终提交检查表：完成这18项才算新版PPT真正完成
[P417 | Normal] □ 第2–3页所有深圳/南山数字均有政府来源。
[P418 | Normal] □ 第6页能在30秒内解释硬件+软件+人的整体架构。
[P419 | Normal] □ 第7–8页明确AICAN是设备/集成伙伴能力，不把供应商能力冒充Careloop自主研发。
[P420 | Normal] □ 第9页有订单状态机和人工兜底。
[P421 | Normal] □ 第10页四终端明确对应：自己点、帮他点、帮他处理、产生数据。
[P422 | Normal] □ 第11页Demo有正常路径+失败转人工。
[P423 | Normal] □ 第12页说明数据如何产生商业价值，但不提前宣称Data Moat。
[P424 | Normal] □ 第13页能回答“每天谁来做饭、谁来维护、谁来处理异常”。
[P425 | Normal] □ 第14页一页讲透谁付钱、谁获益、Careloop如何收费。
[P426 | Normal] □ 第15–16页明确南山是Pilot场景，并且没有虚构合作。
[P427 | Normal] □ 第17页明确1→3→10的扩张Gate。
[P428 | Normal] □ 第18页解释为什么50万不够，并把2,000万定义为Phase I funding target。
[P429 | Normal] □ 第19页资金分配合计100%，并标PLANNING MODEL。
[P430 | Normal] □ 第20页不用8个月回本，而用Unit Economics公式+三情景。
[P431 | Normal] □ 第21页同时讲商业ROI、物业价值、政府价值、家庭价值和长期壁垒。
[P432 | Normal] □ 所有“已验证/假设/待验证”标签统一。
[P433 | Normal] □ 主PPT没有任何一页文字拥挤；所有复杂财务、AICAN报价、SOP进入附录。
[P435 | Title] 附录A｜本版指导书的证据与来源
[P436 | Heading 1] 一、第一版指导书必须保留的原则
[P437 | List Bullet] 第一版明确要求：新版PPT应该先讲真实问题、具体用户、新版UI、语音点餐闭环、人工兜底、工程验证，再进入赛后验证；本版保留这一证据链。fileciteturn2file0L63-L73
[P438 | List Bullet] 第一版明确要求：没有线下试点时不能用未来复购率、收入、回本期填空白；新版虽然增加2,000万元资金模型，但仍将其标为Planning Model。fileciteturn2file0L197-L218
[P439 | Heading 1] 二、TeaVita参考逻辑
[P440 | List Bullet] TeaVita的样本把Business Model、Market Entry Strategy、Financial Projections & Budget、Risk Analysis和Team按连续商业叙事排列；其Business Model强调合作伙伴、轻资产和可扩张结构。fileciteturn2file1L376-L397
[P441 | List Bullet] Careloop不能照搬TeaVita的轻资产逻辑，因为Careloop需要真实厨房硬件与社区站点；因此本版借鉴的是“分阶段进入、伙伴降低资本锁定、先验证再扩张”的结构。fileciteturn2file1L475-L530
[P442 | Heading 1] 三、AICAN公开资料
[P443 | List Bullet] AICAN中国官网：软硬结合、机电一体，强调温控、调料量、动作流程控制，并展示自动调味、油烟处理、自动洗锅、智能菜谱等。citeturn0search0
[P444 | List Bullet] AICAN Global：公开介绍AICMOS OS、Aican Cloud、智能HMI、设备/菜谱管理，以及硬件与云端厨房管理结合。citeturn0search1
[P445 | List Bullet] 本指南没有从官网虚构采购价格；正式财务模型必须用AICAN正式报价替换。
[P446 | Heading 1] 四、深圳南山/深圳政策资料
[P447 | List Bullet] 南山区《长者助餐服务管理办法（试行）》明确长者饭堂、助餐点、长者餐桌，并规定设施、食品安全、补贴与运营要求。citeturn2search0turn2search2
[P448 | List Bullet] 2026年深圳民政资料显示，长者助餐仍属于现行基本养老服务，并保留5元/15元等助餐补助。citeturn2search16turn2search9
[P449 | List Bullet] 深圳公开名录可用于寻找南山候选试点点位；公开名单包含多个南山街道和社区。citeturn1search2
[P450 | List Bullet] 南山高发社区/深云村幸福邻里被深圳市作为“党建+智慧养老社区”试点范本，适合作为Careloop场景研究Benchmark，但不能在PPT写成已签约。citeturn0search5turn0search6
[P451 | Heading 1] 五、财务声明
[P452 | Normal] 2,000万元是本版根据用户提出的商业化落地目标设计的“Phase I funding target / planning envelope”，不是外部来源证明的成本数字。正式金额必须在取得AICAN及其他供应商报价、站点工程报价、人员成本和试点运营数据后重新计算。

[TABLE 1]
记忆点 | 最终要让评委记住 | PPT证据
WHY | 南山已经存在成熟长者助餐体系，但仍需要更低人工、更高协作、更连续的数据服务。 | 政策+社区真实场景
WHAT | Careloop=社区共享厨房硬件 + 四角色终端 + 人工协作 + 数据闭环。 | 产品总览/架构图
HOW | 硬件负责标准化劳动；软件负责理解、确认、调度、记录；工作人员负责温度与异常。 | 硬件/软件/人员闭环
BUSINESS | G端政策降低进入门槛，B端物业/社区提供场景，C端/家属形成真实支付，Careloop通过站点服务与平台能力获得收入。 | 商业模型
WHY NOW / FUND | 深圳南山已有长者助餐政策、点位和智慧养老试点环境；2,000万元是“工程化+试点+运营+标准化”资金目标，而非50万元Demo预算。 | 南山试点+资金瀑布

[TABLE 2]
旧版内容 | 问题 | 新版处理
25页概念生态 | 信息很多，但商业价值后置。 | 仍保留约20页，但把产品→运营→商业连续排列。
广州/GBA 10社区 | 与现在深圳南山落地想法不一致。 | 改为深圳南山Anchor Pilot；香港是比赛/融资窗口。
自动化厨房大量技术 | 技术容易压过商业。 | 保留硬件4–5页，但每页只讲一个商业价值。
软件UI | 第一版已经强调UI是核心证据。 | 继续作为主视觉，并加入工作人员协作和数据产出。fileciteturn2file0L172-L193
50万/10社区 | 无法支撑真实硬件+工程+运营。 | 升级为2,000万元级Phase I资金规划，并明确资金用途。
8个月回本 | 没有真实成本/订单基线。 | 改成Unit Economics公式+情景模型。
护城河 | 过早宣称Data Moat。 | 改成“社区运营数据资产 + SOP + 硬件软件集成 + 合作网络”的逐步形成。
Ask | 以前偏比赛资源。 | 升级为政策、场景、供应链、2,000万元资金与战略伙伴五类Ask。

[TABLE 3]
标签 | 含义 | 使用规则
VALIDATED | 当前代码/UI/真实测试支持 | 可以说“我们已经做成”
EXTERNAL SOURCE | 政府/供应商/行业数据 | 必须在页脚标来源
DEMO ASSUMPTION | 为了演示而模拟 | 不能说成已部署
TO VALIDATE | 必须通过真实社区/报价验证 | 不要回避，反而显示商业成熟度
PLANNING MODEL | 团队规划模型 | 尤其用于2,000万资金分配；不是历史事实

[TABLE 4]
层级 | 演示 | 评委应该看到
User layer | 老人说一句话/家属远程代点 | 低门槛
Service layer | 工作人员收到异常任务 | AI不是黑箱
Kitchen layer | 订单变成厨房任务 | 软件真的能连接后端

[TABLE 5]
领域 | 现在可以说 | 不能说 | 下一步验证
软件 | 可运行UI/订单状态/人工协作 | 真实社区使用量 | 1–3个站点
硬件 | AICAN能力与集成方案可论证 | 已部署/已稳定运行 | 报价、SLA、安装测试
市场 | 南山存在成熟助餐政策/场景 | 已有用户/收入 | 社区访谈+试点
财务 | 2,000万规划资金模型 | 已经算出回本期 | 真实成本+订单
商业 | Payer/Beneficiary/Operator逻辑 | 已签合同/已续约 | LOI/试点协议
数据 | 数据字段与运营价值 | 已经形成Data Moat | 真实运营数据

[TABLE 6]
表 | 核心变量 | 输出
A. Site CapEx | AICAN设备/辅助设备/安装/改造/消防/水电/桌椅/网络 | 每站点初始投入
B. Site Opex | 人员/食品/包装/水电/维护/软件/管理 | 每单/每月成本
C. Revenue | 订单量/AOV/政策补助/订阅/服务费 | 月收入
D. Rollout | 1站→3站→10站→30站的新增CapEx/Opex | 扩张现金需求

[TABLE 7]
来源 | 建议角色 | PPT表达
Subsidies / Policy | 降低CapEx与公益服务成本 | 第一优先级
Strategic Partner | 物业场地、设备、供应链、联合试点 | 第二优先级
Equity / Impact Capital | 覆盖工程化、平台和扩张现金流 | 第三优先级
Customer Revenue | 验证长期商业可持续性 | 不是前期唯一资金来源

[TABLE 8]
风险 | 为什么重要 | 控制机制 | Gate
食品安全 | 社区养老场景容错率低 | 持证主体、供应链、温控、清洗、责任边界 | 合规通过
设备故障 | 一个设备故障会影响整个站点 | 冗余设备、备件、SLA、人工Plan B | 峰值稳定
AI误识别 | 老人需求可能被错误理解 | 预览确认+置信度+人工接管 | 人工介入可控
用户不付费 | 补贴≠商业需求 | 真实支付/套餐测试 | 复购
站点成本过高 | 2,000万可能被CapEx吞掉 | 合作场地/租赁/供应商分担 | 单位经济
人员成本 | 无人化过度会伤害服务质量 | AI减负而不是替代陪伴 | 每单人工分钟
数据隐私 | 涉及健康/家庭数据 | 最小化采集、授权、权限、留存周期 | 合规
扩张过快 | 多个站点放大故障 | 1→3→10分阶段扩张 | Gate制

[TABLE 9]
能力 | 现有团队 | 必须补齐的伙伴
产品/用户 | 理工×广工交叉，适老场景理解 | 社区运营/养老机构
营养/菜单 | 应用生物与生物技术 | 临床/营养顾问、食品安全
工业设计/硬件 | GDUT工业设计/3D建模 | AICAN/设备集成/机电工程
软件/AI | UI/语音/订单状态 | 数据安全/云运维
商业化 | 商业模型/比赛 | 物业集团、政府项目、投资人
运营 | 当前概念方案 | 真实站点运营负责人

[TABLE 10]
时间 | 页 | 内容 | 评委心理
0:00–0:45 | 1–3 | Careloop是什么+老龄/南山Opportunity | 为什么现在？
0:45–1:30 | 4–5 | SHARE+现有方案缺口 | 为什么是你？
1:30–3:30 | 6–12 | 硬件+软件+四终端+Demo+数据 | 你真的做得出来吗？
3:30–4:30 | 13–14 | 运营+Business Model | 谁付钱？怎么跑？
4:30–5:30 | 15–17 | 南山Pilot+Market Entry | 从哪里开始？怎么扩？
5:30–6:45 | 18–20 | 2,000万+资金分配+Unit Economics | 钱为什么这么多？回报怎么来？
6:45–8:00 | 21 | 价值+Moat+Ask | 为什么值得投？

[TABLE 11]
项目 | 新版规则
颜色 | 珊瑚红/深蓝/青绿色三色体系；每页最多2个强调色。
标题 | 一页一个结论；例如“南山已经有助餐，但还缺协作层”，不要写“Market Opportunity”。
产品页 | UI/硬件照片大图，文字少。
架构页 | 最多4层、6节点；每个节点用动作/结果表达。
商业页 | 优先用Payer–Value–Revenue流图。
资金页 | 用资金桶+Gate，不用满页文字。
财务页 | 公式+三情景；不要一个大号回本数字。
来源 | 政府/AICAN数据必须页脚注明；Planning Model必须标PLANNING MODEL。
3D模型 | 保留，但只在第6/7页作为产品空间解释，不再作为主要“技术证明”。

[TABLE 12]
旧版 | 新版去向 | 处理
1封面 | 1 | 保留情感，换产品定位
2–3痛点/机会 | 2–3 | 加入深圳政策/南山场景
4 Decision Preview | 4–5 | SHARE+Gap
5 Customer Opportunity | 3–4/14 | 价值重组
6 Gap | 5 | 保留
7 B-B-C | 14 | 升级Payer/Beneficiary/Operator
8–10 Video | 11 | 升级为完整订单Demo
11 Three-Layer System | 6–9 | 拆成硬件/软件/终端
12 Moat | 12/21 | 改为Operational Learning
13–15场景 | 10/15 | 四终端+南山场景
17–18 Metrics/Gates | 17/20 | Market Entry + Unit Economics
19 Financial | 18–20 | 彻底重做
20 Risk | 附录/风险页 | 保留
21 Ask/Fund | 18/19/21 | 升级为2,000万资金+战略伙伴
22–23 Summary/Close | 21 | 商业价值收束
24–25 Appendix | 附录 | 技术、报价、财务、SOP
